Model_Results,KNC - No diagnosis,KNC - No Medication (Except Insulin),"KNC - Only Insulin, No Diagnosis",KNC,LR - No diagnosis,LR - No Medication (Except Insulin),"LR - Only Insulin, No Diagnosis",LR,DTC - No diagnosis,DTC - No Medication (Except Insulin),"DTC - Only Insulin, No Diagnosis",DTC,Random Forest,Gradient Boosting
Accuracy Score - Threshold - 0.35,0.6292944583388179,0.5576543372383835,0.5749308937738581,0.5734829537975517,0.5722653679083849,0.5613400026326182,0.5521916546005002,0.5815124391207055,0.7022179807818876,0.6847439778860076,0.6882321969198367,0.6958667895221798,0.6964262208766618,0.7372318020271159
Recall Score - Threshold - 0.35,0.4526688292539074,0.5417281038041876,0.5119433795340608,0.5107637864936597,0.5738720141551165,0.5903863167207314,0.6110291949277499,0.5662046593925096,0.3462105573577116,0.3376585078148039,0.34149218519610736,0.32615747567089354,0.4013565319964612,0.32969625479209674
Precision Score - Threshold - 0.35,0.1402595029239766,0.13384335154826957,0.13355900907831975,0.13288322847936168,0.14415882657974666,0.14358459442013913,0.14427964626418774,0.14583016861613246,0.14664001998501125,0.13503950937610568,0.13787355637575902,0.137169787920129,0.1590696587190276,0.1636896046852123
Accuracy Score - Threshold - 0.5,0.7050151375542978,0.5576543372383835,0.5749308937738581,0.5734829537975517,0.7045215216532842,0.6964591286033961,0.6905357377912333,0.7079110175069107,0.7022179807818876,0.6847439778860076,0.6882321969198367,0.6958667895221798,0.8013360537054101,0.7943267079110176
Recall Score - Threshold - 0.5,0.32674727219109406,0.5417281038041876,0.5119433795340608,0.5107637864936597,0.38926570333235033,0.4007667354762607,0.4116779710999705,0.3730462990268357,0.3462105573577116,0.3376585078148039,0.34149218519610736,0.32615747567089354,0.22087879681509878,0.22530227071660278
Precision Score - Threshold - 0.5,0.14225189369623828,0.13384335154826957,0.13355900907831975,0.13288322847936168,0.16042780748663102,0.15892878025961876,0.15854628052243044,0.15782907049282596,0.14664001998501125,0.13503950937610568,0.13787355637575902,0.137169787920129,0.18074324324324326,0.17415090038750855
