Model_Results,KNC - No diagnosis,KNC - No Medication (Except Insulin),"KNC - Only Insulin, No Diagnosis",KNC,LR - No diagnosis,LR - No Medication (Except Insulin),"LR - Only Insulin, No Diagnosis",LR,DTC - No diagnosis,DTC - No Medication (Except Insulin),"DTC - Only Insulin, No Diagnosis",DTC,Random Forest,Gradient Boosting
Accuracy Score - Threshold - 0.13,0.6363038041332105,0.6691457154139792,0.6074108200605502,0.6253126234039752,0.6977425299460314,0.6949453731736212,0.6996182703698829,0.6943530340924049,0.6263656706594708,0.5567000131630907,0.6273199947347637,0.5694023956825063,0.6395287613531657,0.6565749638015006
Recall Score - Threshold - 0.13,0.4868770274255382,0.45384842229430844,0.5381893246829844,0.5101739899734592,0.45797699793571217,0.4570923031554114,0.45502801533470955,0.4585667944559127,0.5458566794455912,0.6652904747861987,0.5434974933647891,0.6416986139781775,0.4800943674432321,0.5305219699203775
Precision Score - Threshold - 0.13,0.15059746419775608,0.15799199260856175,0.14972516203133973,0.15102575294631165,0.17449438202247192,0.17262501392137208,0.1748838263629151,0.1726434995003886,0.15867981140162882,0.15460526315789475,0.15860585197934596,0.15491955004983626,0.15047601441907754,0.16903128817062857
Accuracy Score - Threshold - 0.2,0.8015993155192839,0.8074239831512439,0.808279584046334,0.8114058180860866,0.8376990917467422,0.8386863235487693,0.8397722785309991,0.838653415822035,0.8672173226273528,0.8408253257864947,0.8528695537712255,0.841417664867711,0.8030801632223246,0.8532644464920364
Recall Score - Threshold - 0.2,0.20672368033028604,0.19758183426717782,0.17752875258035977,0.2028900029489826,0.13447360660572102,0.13742258920672368,0.13005013270421706,0.14361545266882925,0.07195517546446475,0.14597463874963137,0.10881745797699793,0.1415511648481274,0.20171040990858155,0.1194337953406075
Precision Score - Threshold - 0.2,0.1735148514851485,0.17626940278873982,0.16543006320417697,0.18514531754574812,0.18589482266612312,0.190749079001228,0.186864406779661,0.19589702333065165,0.21554770318021202,0.20320197044334976,0.20297029702970298,0.20100502512562815,0.1726836657409745,0.21565495207667731
